IAU Name,Designation,Const.,Vmag,RA,Dec
Absolutno,XO-5,Lyn,12.13,116.716506,39.094572
Alasia,HD 168746,Ser,7.95,275.457428,-11.922682
Amadioha,HD 43197,CMa,8.98,93.398590,-29.897264
Amansinaya,WASP-34,Crt,10.30,165.399575,-23.860662
Anadolu,WASP-52,Peg,12.20,348.494823,8.761270
Aniara,HD 102956,UMa,7.86,177.843796,57.640734
Arcalís,HD 131496,Boo,7.80,223.345951,18.235409
Atakoraka,WASP-64,CMa,12.69,101.115022,-32.858383
Axólotl,HD 224693,Cet,8.23,359.974298,-22.428116
Ayeyarwady,HD 18742,Eri,7.81,45.044402,-20.802604
Baekdu,HD 133086,UMi,6.83,224.201473,74.900923
Bélénos,HD 8574,Psc,7.12,021.302148,28.566695
Belel,HD 181342,Sgr,7.55,290.267627,-23.619570
Berehynia,HAT-P-15,Per,12.02,066.248062,39.460642
Bibhā,HD 86081,Sex,8.73,149.024661,-3.808423
Bosona,HD 206610,Aqr,8.34,325.853751,-7.408253
Bubup,HD 38283,Men,6.69,84.258403,-73.699346
Buna,HD 16175,And,7.28,39.257963,42.062630
Ceibo,HD 63454,Cha,9.37,114.841057,-78.278974
Chaophraya,WASP-50,Eri,11.74,043.688059,-10.898063
Chasoň,HAT-P-5,Lyr,11.96,274.405470,36.621436
Chechia,HD 192699,Aql,6.44,304.025017,4.580795
Citadelle,HD 1502,Psc,8.36,4.821110,14.054756
Citalá,HD 52265,Mon,6.29,105.075149,-5.367161
Cocibolca,HD 4208,Scl,7.78,11.111045,-26.515683
Dingolay,HD 96063,Leo,8.21,166.185228,-02.513218
Dìwö,WASP-17,Sco,11.49,239.962287,-28.061753
Diya,WASP-72,For,10.97,041.040041,-30.169045
Dofida,HD 117618,Cen,7.17,203.106482,-47.271365
Dombay,HAT-P-3,UMa,11.52,206.094141,48.028668
Ebla,HD 218566,Psc,8.59,347.294696,-2.260746
Emiw,HD 7199,Tuc,8.06,17.696756,-66.188164
Felixvarela,BD-17 63,Cet,9.62,7.142942,-16.226345
Flegetonte,HD 102195,Vir,8.07,176.426220,2.821479
Formosa,HD 100655,Leo,6.45,173.765637,20.441545
Franz,HAT-P-14,Her,9.86,260.116160,38.242197
Funi,HD 109246,Dra,8.75,188.029952,74.489547
Gakyid,HD 73534,Cnc,8.23,129.815846,12.960375
Gloas,WASP-13,Lyn,10.51,140.102977,33.882417
Gumala,HD 179949,Sgr,6.25,288.888459,-24.179354
Hoggar,HD 28678,Tau,8.38,67.856059,4.575295
Horna,HAT-P-38,Tri,12.53,035.383251,32.246136
Hunahpú,HD 98219,Crt,8.05,169.448138,-23.975415
Hunor,HAT-P-2,Her,8.72,245.151491,41.048086
Illyrian,HD 82886,LMi,7.62,143.938267,34.780742
Inquill,HD 156411,Ara,6.67,259.964168,-48.549320
Intan,HD 20868,For,9.92,50.177891,-33.730104
Irena,WASP-38,Her,9.41,243.959855,10.032579
Itonda,HD 208487,Gru,7.47,329.332698,-37.763624
Kalausi,HD 83443,Vel,8.23,144.299282,-43.272204
Kamuy,HD 145457,CrB,6.57,242.516310,26.742748
Karaka,HD 137388,Aps,8.71,233.916337,-80.204594
Kaveh,HD 175541,Ser,8.02,283.920350,4.265323
Koeia,HIP 12961,Eri,10.25,041.678695,-23.086612
Koit,XO-4,Lyn,10.62,110.388168,58.268087
Lerna,HAT-P-42,Hya,12.15,135.344371,6.097227
Liesma,HD 118203,UMa,8.05,203.510581,53.728527
Lionrock,HD 212771,Aqr,7.60,336.762801,-17.263656
Lucilinburhuc,HD 45350,Aur,7.89,97.190463,38.962962
Lusitânia,HD 45652,Mon,8.10,97.304966,10.933891
Macondo,HD 93083,Ant,8.30,161.087146,-33.577024
Mago,HD 32518,Cam,6.43,77.403000,69.639404
Mahsati,HD 152581,Oph,8.38,253.431594,11.973748
Malmok,WASP-39,Vir,11.89,217.326730,-3.444501
Márohu,WASP-6,Aqr,12.16,348.157237,-22.673966
Mazaalai,HAT-P-21,UMa,11.72,171.274941,41.027964
Moldoveanu,XO-1,CrB,11.28,240.549360,28.169561
Mönch,HD 130322,Vir,8.04,221.886361,-00.281474
Montuno,WASP-79,Eri,10.06,066.370903,-30.600447
Morava,WASP-60,Peg,12.18,356.666561,31.155937
Moriah,HAT-P-23,Del,12.32,306.123848,16.762170
Mouhoun,HD 30856,Eri,7.91,72.574423,-24.368843
Mpingo,WASP-71,Cet,10.70,029.263350,0.758855
Muspelheim,HAT-P-29,Per,11.89,033.131160,51.778767
Naledi,WASP-62,Dor,10.12,087.139974,-63.988441
Násti,HD 68988,UMa,8.20,124.592386,61.460721
Natasha,HD 85390,Vel,8.54,147.510404,-49.790266
